STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
74486094789,2025/1/1,40.63915,-73.7639,2.7,"JFK INTERNATIONAL AIRPORT, NY US",48.3,24,42,24,1001.2,19,999.9,24,9.7,24,13.2,24,25.1,35.9,54, ,37.9, ,0.38,G,999.9,10010
74486094789,2025/1/2,40.63915,-73.7639,2.7,"JFK INTERNATIONAL AIRPORT, NY US",41.8,24,23.8,24,1011,24,10.3,24,10,24,18.9,24,24.1,41,53.1, ,37, ,0,G,999.9,0
74486094789,2025/1/3,40.63915,-73.7639,2.7,"JFK INTERNATIONAL AIRPORT, NY US",37.1,24,18.9,24,1013.4,24,12.6,24,10,24,15.1,24,21,29.9,46, ,35.1, ,0,G,999.9,0
74486094789,2025/1/4,40.63915,-73.7639,2.7,"JFK INTERNATIONAL AIRPORT, NY US",33.6,24,13.6,24,1010.1,24,9.4,24,10,24,17.1,24,24.1,35.9,41, ,30.9, ,0,G,999.9,0
74486094789,2025/1/5,40.63915,-73.7639,2.7,"JFK INTERNATIONAL AIRPORT, NY US",31.8,24,11.5,24,1016.1,24,15.3,24,10,24,16.2,24,21,28.9,37, ,28.9, ,0,G,999.9,0
74486094789,2025/1/6,40.63915,-73.7639,2.7,"JFK INTERNATIONAL AIRPORT, NY US",31.2,24,19.1,24,1015.2,17,12.7,24,8.5,24,7.9,24,15.9,22,37, ,28.9, ,0,G,999.9,1000
74486094789,2025/1/7,40.63915,-73.7639,2.7,"JFK INTERNATIONAL AIRPORT, NY US",27.5,24,12,24,1007.9,24,6.7,24,10,24,20.4,24,31.1,42.9,36, ,19.9, ,0.06,G,999.9,1000
74486094789,2025/1/8,40.63915,-73.7639,2.7,"JFK INTERNATIONAL AIRPORT, NY US",28.9,24,8.1,24,1013.6,24,12.8,24,10,24,20.6,24,26,36.9,36, ,19.9, ,0,G,999.9,0
74486094789,2025/1/9,40.63915,-73.7639,2.7,"JFK INTERNATIONAL AIRPORT, NY US",28.4,24,8.9,24,1007.4,24,6.6,24,10,24,22.4,24,29.9,42.9,37, ,24.1, ,0,G,999.9,0
74486094789,2025/1/10,40.63915,-73.7639,2.7,"JFK INTERNATIONAL AIRPORT, NY US",34,24,15.8,24,1012.4,24,11.6,24,10,24,15.7,24,22.9,35,44.1, ,24.1, ,0,G,999.9,0
74486094789,2025/1/11,40.63915,-73.7639,2.7,"JFK INTERNATIONAL AIRPORT, NY US",34.7,24,22.7,24,1003.8,20,2.4,24,9.1,24,8.7,24,21,28.9,44.1, ,28.9, ,0.03,G,999.9,1000
74486094789,2025/1/12,40.63915,-73.7639,2.7,"JFK INTERNATIONAL AIRPORT, NY US",36.8,24,20.2,24,1012.5,24,11.8,24,10,24,11.9,24,24.1,31.1,46, ,30, ,0,I,999.9,0
74486094789,2025/1/13,40.63915,-73.7639,2.7,"JFK INTERNATIONAL AIRPORT, NY US",37.5,24,24.9,24,1015.7,24,14.9,24,10,24,9,24,15,999.9,46, ,30, ,0,G,999.9,0
74486094789,2025/1/14,40.63915,-73.7639,2.7,"JFK INTERNATIONAL AIRPORT, NY US",34.7,24,13.8,24,1015.3,24,14.5,24,10,24,13.3,24,20,28,43, ,30, ,0,G,999.9,0
74486094789,2025/1/15,40.63915,-73.7639,2.7,"JFK INTERNATIONAL AIRPORT, NY US",29.7,24,9,24,1018.9,24,18.2,24,10,24,17.5,24,22,35,37.9, ,25, ,0,G,999.9,0
74486094789,2025/1/16,40.63915,-73.7639,2.7,"JFK INTERNATIONAL AIRPORT, NY US",28.9,24,12.1,24,1017.7,24,16.9,24,10,24,10.1,24,17.1,24.1,36, ,25, ,0,G,999.9,1000
74486094789,2025/1/17,40.63915,-73.7639,2.7,"JFK INTERNATIONAL AIRPORT, NY US",33.4,24,21.2,24,1015.4,24,14.7,24,9.9,24,9.4,24,11.1,999.9,44.1, ,25, ,0,G,999.9,1000
74486094789,2025/1/18,40.63915,-73.7639,2.7,"JFK INTERNATIONAL AIRPORT, NY US",41.3,24,32.8,24,1016.5,24,15.7,24,9.2,24,10.9,24,18.1,22,48, ,27, ,0,G,999.9,10000
74486094789,2025/1/19,40.63915,-73.7639,2.7,"JFK INTERNATIONAL AIRPORT, NY US",40.2,24,34.4,24,1008.8,18,7.6,24,8.2,24,7.7,24,19,31.1,48, ,33.1, ,0.17,G,999.9,11000
74486094789,2025/1/20,40.63915,-73.7639,2.7,"JFK INTERNATIONAL AIRPORT, NY US",26.2,24,13.4,24,1018.8,22,16.2,24,8.5,24,14.9,24,22,29.9,43, ,19.9, ,0.24,G,1.2,101000
74486094789,2025/1/21,40.63915,-73.7639,2.7,"JFK INTERNATIONAL AIRPORT, NY US",18.6,24,0.7,24,1033.2,24,32.5,24,10,24,10,24,14,22,28.9, ,14, ,0,G,1.2,0
74486094789,2025/1/22,40.63915,-73.7639,2.7,"JFK INTERNATIONAL AIRPORT, NY US",18,24,-0.5,24,1032.6,24,31.9,24,10,24,8.7,24,15,999.9,23, ,12.9, ,0,G,1.2,0
74486094789,2025/1/23,40.63915,-73.7639,2.7,"JFK INTERNATIONAL AIRPORT, NY US",22.8,21,7.5,21,1027.8,21,31.8,6,10,21,5.8,21,11.1,999.9,30, ,12.9, ,0,G,1.2,0
74486094789,2025/1/24,40.63915,-73.7639,2.7,"JFK INTERNATIONAL AIRPORT, NY US",28.4,24,11.9,24,1021.5,24,999.9,0,10,24,9.6,24,14,19,35.1, ,16, ,0,G,1.2,0
74486094789,2025/1/25,40.63915,-73.7639,2.7,"JFK INTERNATIONAL AIRPORT, NY US",27.4,24,11.8,24,1026.3,24,25.8,21,10,24,7.9,24,14,999.9,35.1, ,18, ,0,G,1.2,0
74486094789,2025/1/26,40.63915,-73.7639,2.7,"JFK INTERNATIONAL AIRPORT, NY US",35.6,24,20.5,24,1021.9,24,21.2,24,10,24,9.6,24,17.1,26,45, ,18, ,0,G,1.2,0
74486094789,2025/1/27,40.63915,-73.7639,2.7,"JFK INTERNATIONAL AIRPORT, NY US",35.3,24,18.4,24,1017.2,24,19.9,6,10,24,9.8,24,17.1,25.1,45, ,28.9, ,0,G,999.9,0
74486094789,2025/1/28,40.63915,-73.7639,2.7,"JFK INTERNATIONAL AIRPORT, NY US",39.8,24,19,24,1003.7,24,999.9,0,10,24,16,24,22,33,46, ,28.9, ,0,G,999.9,0
74486094789,2025/1/29,40.63915,-73.7639,2.7,"JFK INTERNATIONAL AIRPORT, NY US",42.3,24,24.8,24,1000.5,24,999.9,0,10,24,13.4,24,24.1,35.9,55, ,30, ,0,G,999.9,0
74486094789,2025/1/30,40.63915,-73.7639,2.7,"JFK INTERNATIONAL AIRPORT, NY US",34.7,24,11,24,1018.3,24,19.9,21,10,24,16.3,24,26,41,55, ,26.1, ,0,G,999.9,0
74486094789,2025/1/31,40.63915,-73.7639,2.7,"JFK INTERNATIONAL AIRPORT, NY US",41.8,24,35.6,24,1016.9,19,15.9,24,7.4,24,7.3,24,14,20,46, ,26.1, ,0.03,G,999.9,110000
74486094789,2025/2/1,40.63915,-73.7639,2.7,"JFK INTERNATIONAL AIRPORT, NY US",42.3,24,31.4,24,1013.8,21,10.9,24,6.7,24,12.8,24,21,32.1,50, ,32, ,0.13,G,999.9,110000
74486094789,2025/2/2,40.63915,-73.7639,2.7,"JFK INTERNATIONAL AIRPORT, NY US",26.2,24,10.6,24,1033.5,23,32.6,24,10,24,10,24,18.1,25.1,50, ,19, ,0.01,G,999.9,11000
74486094789,2025/2/3,40.63915,-73.7639,2.7,"JFK INTERNATIONAL AIRPORT, NY US",38.6,24,32.3,24,1020.3,21,20.6,24,9.8,24,7.1,24,12,999.9,46, ,19, ,0.09,G,999.9,11000
74486094789,2025/2/4,40.63915,-73.7639,2.7,"JFK INTERNATIONAL AIRPORT, NY US",44.9,24,31.1,24,1012.7,24,11.5,24,10,24,13.8,24,22.9,33,50, ,32, ,0,G,999.9,0
74486094789,2025/2/5,40.63915,-73.7639,2.7,"JFK INTERNATIONAL AIRPORT, NY US",33.6,24,12.3,24,1027.4,24,26.6,24,9.7,24,11.1,24,18.1,28.9,50, ,28.9, ,0,G,999.9,0
74486094789,2025/2/6,40.63915,-73.7639,2.7,"JFK INTERNATIONAL AIRPORT, NY US",36,24,27.4,24,1020.7,20,19.9,24,6.6,24,7.3,24,15,21,42.1, ,28.9, ,0.06,G,999.9,11000
74486094789,2025/2/7,40.63915,-73.7639,2.7,"JFK INTERNATIONAL AIRPORT, NY US",41.2,24,27.2,24,1012.6,23,11.2,24,6.6,24,14.3,24,21,39,57, ,33.1, ,0.19,G,999.9,0
74486094789,2025/2/8,40.63915,-73.7639,2.7,"JFK INTERNATIONAL AIRPORT, NY US",32.3,24,10.8,24,1025.1,24,24.3,24,10,24,7.9,24,15,22,48, ,27, ,0,G,999.9,0
74486094789,2025/2/9,40.63915,-73.7639,2.7,"JFK INTERNATIONAL AIRPORT, NY US",35.2,24,27.8,24,1017.5,15,14.7,24,6.4,24,9.3,24,19,26,37, ,27, ,0.72,G,2,111000
74486094789,2025/2/10,40.63915,-73.7639,2.7,"JFK INTERNATIONAL AIRPORT, NY US",36.1,24,20.2,24,1026.9,24,26.1,24,10,24,9.4,24,15,18.1,39, ,33.1, ,0.05,G,1.2,0
74486094789,2025/2/11,40.63915,-73.7639,2.7,"JFK INTERNATIONAL AIRPORT, NY US",32.4,24,15.7,24,1029.8,24,29,24,10,24,4.7,24,13,20,39, ,26.1, ,0,G,1.2,1000
