DATE,TMAX_F,EXTREME_HEAT
2025-06-01,73.0,no
2025-06-02,72.0,no
2025-06-03,75.9,no
2025-06-04,75.9,no
2025-06-05,81.0,no
2025-06-06,81.0,no
2025-06-07,81.0,no
2025-06-08,75.0,no
2025-06-09,75.0,no
2025-06-10,75.0,no
2025-06-11,82.4,no
2025-06-12,90.0,no
2025-06-13,90.0,no
2025-06-14,79.0,no
2025-06-15,66.0,no
2025-06-16,71.1,no
2025-06-17,71.1,no
2025-06-18,82.0,no
2025-06-19,84.9,no
2025-06-20,86.0,no
2025-06-21,87.1,no
2025-06-22,91.0,yes
2025-06-23,91.0,yes
2025-06-24,102.0,yes
2025-06-25,102.0,yes
2025-06-26,84.0,no
2025-06-27,84.9,no
2025-06-28,82.0,no
2025-06-29,91.9,yes
2025-06-30,91.9,yes
2025-07-01,91.0,yes
2025-07-02,91.0,yes
2025-07-03,89.1,no
2025-07-04,89.1,no
2025-07-05,87.1,no
2025-07-06,86.0,no
2025-07-07,87.1,no
2025-07-08,93.0,yes
2025-07-09,93.0,yes
2025-07-10,89.1,no
2025-07-11,82.0,no
2025-07-12,82.9,no
2025-07-13,82.9,no
2025-07-14,87.1,no
2025-07-15,87.1,no
2025-07-16,84.9,no
2025-07-17,91.9,yes
2025-07-18,90.0,no
2025-07-19,82.0,no
2025-07-20,87.1,no
2025-07-21,87.1,no
2025-07-22,87.1,no
2025-07-23,84.9,no
2025-07-24,84.9,no
2025-07-25,93.2,yes
2025-07-26,93.0,yes
2025-07-27,84.9,no
2025-07-28,93.0,yes
2025-07-29,96.1,yes
2025-07-30,96.1,yes
2025-07-31,95.0,yes
2025-08-01,75.0,no
2025-08-02,80.1,no
2025-08-03,82.9,no
2025-08-04,89.1,no
2025-08-05,86.0,no
2025-08-06,84.9,no
2025-08-07,80.1,no
2025-08-08,79.0,no
2025-08-09,82.0,no
2025-08-10,84.9,no
2025-08-11,84.9,no
2025-08-12,86.0,no
2025-08-13,84.9,no
2025-08-14,84.9,no
2025-08-15,86.0,no
2025-08-16,80.1,no
2025-08-17,84.9,no
2025-08-18,84.9,no
2025-08-19,78.1,no
2025-08-20,82.0,no
2025-08-21,73.9,no
2025-08-22,82.0,no
2025-08-23,79.0,no
2025-08-24,80.1,no
2025-08-25,86.0,no
2025-08-26,78.1,no
2025-08-27,73.9,no
