STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
72505394728,2025/1/1,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",46.2,24,39.2,24,1000.9,16,995.5,24,7.8,24,6.2,24,13,32.1,53.1, ,42.1, ,0.4,G,999.9,10000
72505394728,2025/1/2,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",39.5,24,20.5,24,1010.8,24,5.9,24,10,24,9.4,22,15,31.1,51.1, ,36, ,0,G,999.9,0
72505394728,2025/1/3,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",35,24,16,24,1012.4,24,7.4,24,10,24,6.8,22,12,20,43, ,33.1, ,0,G,999.9,0
72505394728,2025/1/4,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",31.1,24,10.4,24,1009.9,24,4.9,24,10,24,8.1,20,13,29.9,39, ,30, ,0,G,999.9,0
72505394728,2025/1/5,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",29.5,24,9.1,24,1015.6,24,10.6,24,10,24,7.8,22,13,25.1,33.1, ,28, ,0,G,999.9,0
72505394728,2025/1/6,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",29.4,24,17.4,24,1013.5,19,7.3,24,8.4,24,3.9,21,8,999.9,33.1, ,28, ,0,G,999.9,1000
72505394728,2025/1/7,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",25.2,24,8.9,24,1007.9,24,2.9,24,10,24,9.8,24,14,32.1,33.1, ,19, ,0.08,G,999.9,0
72505394728,2025/1/8,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",26.2,24,5.5,24,1013,24,8.1,24,10,24,10.6,22,17.1,33,33.1, ,19, ,0,G,1.2,0
72505394728,2025/1/9,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",26,24,7.4,24,1007.4,24,2.4,24,10,24,10.8,19,21,35,33.1, ,21.9, ,0,G,999.9,0
72505394728,2025/1/10,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",31.4,24,13.5,24,1012.2,24,7.3,24,10,24,9.2,23,15,28.9,39, ,21.9, ,0,G,999.9,0
72505394728,2025/1/11,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",32.7,24,19.2,24,1003.2,18,997.5,24,9.2,24,4.8,23,12,22,39, ,27, ,0.02,G,999.9,1000
72505394728,2025/1/12,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",34.8,24,18.6,24,1012.6,24,7.6,24,10,24,6,21,12,27,42.1, ,28, ,0,I,1.2,0
72505394728,2025/1/13,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",37.7,24,19.6,24,1014.7,24,9.8,24,10,24,3.7,22,9.9,17.1,42.1, ,30, ,0,G,999.9,0
72505394728,2025/1/14,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",32,24,10,24,1014.8,24,9.8,24,10,24,7,23,12,22.9,42.1, ,28, ,0,G,999.9,0
72505394728,2025/1/15,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",26.8,24,6.8,24,1018.9,24,13.9,24,10,24,7.7,20,12,25.1,35.1, ,23, ,0,G,999.9,0
72505394728,2025/1/16,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",26.7,24,10.1,24,1016.4,24,11.3,24,9.9,24,4.7,21,8.9,18.1,32, ,23, ,0,G,999.9,1000
72505394728,2025/1/17,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",31.7,24,18.8,24,1015.1,24,10.1,24,9.5,24,4.5,22,9.9,14,42.1, ,23, ,0,G,999.9,1000
